Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
8,"6,3","6,4","6,6","6,4",WNW,"0,8",NNE,"0,8",E,"2,4","1,4",-,10,10,10,"10,0","0,9",.,0
9,"4,6","4,6","4,3","4,5",SE,"4,4",ESE,"4,4",ESE,"4,4","4,4",-,10,10,8,"9,3",.,.,.
10,"3,6","4,2","4,1","4,0",SSE,"6,7",SE,"4,4",SE,"6,7","5,9",-,5,3,7,"5,0",.,.,.
11,"3,2","3,6","3,5","3,4",SSE,"4,4",SE,"4,4",SE,"6,7","5,1",-,6,4,0,"3,3",.,.,.
12,"3,1","3,2","3,1","3,1",SE,"6,7",SE,"4,4",SE,"4,4","5,1",-,3,0,0,"1,0",.,.,.
13,"3,2","4,1","4,2","3,8",SE,"4,4",SE,"2,4",ESE,"2,4","3,0",-,0,0,0,"0,0",.,.,.
14,"3,2","4,3","4,6","4,0",C,"0,0",NNW,"2,4",ENE,"0,8","1,1",-,0,6,3,"3,0",.,.,.
15,"4,0","4,9","4,9","4,6",E,"0,8",W,"2,4",ENE,"0,8","1,4",-,0,0,0,"0,0",.,.,.
16,"4,5","4,6","5,9","5,0",ENE,"0,8",ENE,"2,4",E,"0,8","1,4",-,0,0,0,"0,0",.,.,.
17,"4,5","4,6","5,5","4,9",ENE,"0,8",WNW,"0,8",C,"0,0","0,6",-,10,5,0,"5,0",.,.,.
18,"5,5","6,4","6,3","6,1",NW,"0,8",NW,"2,4",NNE,"2,4","1,9",-,10,10,10,"10,0",.,.,.
19,"5,6","5,8","5,7","5,7",NE,"2,4",NNE,"0,8",N,"0,8","1,4",-,10,10,10,"10,0","0,4",.,0
20,"5,4","5,9","7,0","6,1",NW,"0,8",WNW,"0,8",W,"0,8","0,8",-,10,5,10,"8,3","0,2",.,0
21,"5,5","5,2","7,1","5,9",WSW,"2,4",WNW,"2,4",NE,"0,8","1,9",-,0,9,9,"6,0",.,.,.
22,"6,8","6,7","7,9","7,1",W,"2,4",S,"2,4",WNW,"0,8","1,9",-,2,3,0,"1,7","0,0",.,.
23,"6,8","7,2","7,3","7,1",SW,"0,8",W,"4,4",SSW,"2,4","2,5",-,4,3,0,"2,3",.,.,.
24,"6,7","7,7","8,3","7,6",SSW,"2,4",WSW,"2,4",NE,"4,4","3,0",-,6,10,10,"8,7",.,.,.
25,"6,9","6,2","5,3","6,1",W,"4,4",NW,"4,4",WNW,"0,8","3,2",-,10,5,0,"5,0","15,8",.,.
26,"4,8","7,6","8,4","6,9",SE,"2,4",SSW,"0,8",SSE,"0,8","1,4",-,0,3,6,"3,0",.,.,.
27,"8,9","9,8","9,2","9,3",SSE,"0,8",ENE,"2,4",S,"2,4","1,9",-,8,5,3,"5,3",.,.,.
28,"8,0","8,2","7,6","7,9",SSE,"0,8",SW,"4,4",SSW,"6,7","4,0",-,1,1,4,"2,0",.,.,.
dek1,"6,8","7,0","6,9","6,9","3,1","3,0","3,4","3,2",-,"8,1","8,3","7,8","8,1","7,1",,,,,
dek2,"4,2","4,7","5,1","4,7","2,2","2,3","2,0","2,1",-,"4,9","4,0","3,3","4,1","0,6",,,,,
dek3,"6,8","7,3","7,6","7,2","2,0","2,9","2,4","2,3",-,"3,9","4,9","4,0","4,3","15,8",,,,,
mes,"5,9","6,3","6,5","6,2","2,5","2,7","2,6","2,5",-,"5,8","5,8","5,1","5,5","23,5",,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,МАРТ,2017,,,,,,,,,,,
1,"987,2","990,7","998,0","992,0","16,3","5,7","10,6","10,7","12,9","6,6","6,2","8,0",55,87,86,76,,,
2,"1000,1","998,7","1001,2","1000,0","16,7","3,0","13,7","-2,0","4,6","15,8","11,0","10,6",73,24,56,51,,,
3,"1006,3","1005,4","1003,8","1005,2","16,3","7,1","9,2","5,9","7,3","14,8","10,5","10,8",80,29,43,51,,,
4,"999,0","996,5","995,9","997,1","22,5","8,7","13,8","3,3","8,7","21,9","17,4","16,4",57,25,31,38,,,
5,"997,4","994,0","993,6","995,0","17,4","10,3","7,1","10,4","13,7","16,8","10,3","12,8",46,41,81,56,,,
6,"993,1","991,1","990,7","991,6","14,8","7,2","7,6","3,0","8,9","13,6","7,2","9,2",73,49,88,70,,,
7,"987,5","987,8","991,5","988,9","12,9","6,5","6,4","2,0","7,8","12,6","10,4","10,3",82,63,77,74,,,
8,"998,0","1001,6","1003,9","1001,2","10,4","6,3","4,1","6,4","7,0","8,5","7,6","7,7",95,92,93,93,,,
9,"1004,2","1002,6","1001,8","1002,9","13,5","5,0","8,5","2,9","5,5","12,6","9,4","9,2",94,68,88,83,,,
10,"997,8","996,2","997,8","997,3","9,7","4,0","5,7","0,4","4,2","8,8","6,1","6,3",96,80,90,89,,,
11,"1001,5","1001,5","1001,6","1001,5","7,9","3,0","4,9","0,1","4,0","7,2","7,4","6,5",70,62,67,66,,,
12,"999,4","999,6","1000,9","1000,0","7,4","3,9","3,5","2,4","3,9","7,0","4,5","5,0",76,68,91,78,,,
13,"1003,1","1005,9","1008,2","1005,7","10,4","3,9","6,5","3,7","4,0","9,3","8,2","7,4",88,65,71,75,,,
14,"1010,3","1010,0","1010,8","1010,4","12,3","4,5","7,8","2,9","4,6","10,9","8,9","8,3",85,53,58,65,,,
15,"1011,6","1010,4","1007,9","1010,0","14,4","3,4","11,0","-1,4","3,8","13,2","10,9","9,7",82,37,55,58,,,
16,"1008,6","1005,9","1003,0","1005,8","14,7","5,4","9,3","2,8","5,8","13,6","10,5","10,1",89,45,55,63,,,
17,"1004,0","1002,6","998,2","1001,6","15,1","4,7","10,4","1,0","4,8","14,0","10,6","10,0",63,29,43,45,,,
18,"994,6","989,9","992,2","992,2","19,8","7,0","12,8","2,9","8,2","19,2","13,4","13,6",61,32,59,51,,,
19,"993,9","997,1","996,8","995,9","13,4","9,3","4,1","9,4","10,3","10,2","9,3","9,8",92,87,88,89,,,
20,"996,6","996,6","996,9","996,7","20,3","7,9","12,4","3,6","10,0","20,0","14,4","14,7",69,47,65,60,,,
21,"996,2","994,6","994,5","995,1","25,4","12,3","13,1","6,7","12,7","24,2","18,6","18,5",70,38,49,52,,,
22,"996,0","995,6","997,3","996,3","26,0","14,5","11,5","11,0","16,2","25,2","19,0","19,9",51,30,47,43,,,
23,"1001,2","1001,6","1002,4","1001,7","24,2","14,4","9,8","8,6","14,8","23,1","18,1","18,5",62,40,38,47,,,
24,"1005,7","1005,6","1006,6","1006,0","24,5","13,2","11,3","5,6","14,1","23,9","17,6","18,3",60,30,44,45,,,
25,"1009,6","1007,4","1003,9","1007,0","17,6","7,1","10,5","6,0","7,3","16,0","12,4","12,0",79,43,54,59,,,
26,"1000,6","1004,0","1006,6","1003,7","12,5","6,4","6,1","1,6","7,2","8,6","7,4","7,7",77,49,47,58,,,
27,"1009,6","1008,5","1008,8","1009,0","14,1","1,3","12,8","-3,1","2,6","12,8","10,2","9,0",75,40,44,53,,,
28,"1009,6","1007,7","1007,2","1008,2","17,9","3,2","14,7","-2,5","5,2","16,8","11,4","11,2",65,33,52,50,,,
29,"1008,4","1007,1","1005,4","1007,0","21,9","6,8","15,1","0,0","9,2","20,8","15,5","15,3",60,31,40,44,,,
30,"1007,5","1007,8","1010,0","1008,4","21,5","9,7","11,8","2,3","10,6","20,4","14,9","15,2",64,40,51,52,,,
31,"1010,6","1008,1","1005,9","1008,2","20,2","8,3","11,9","1,5","11,4","19,0","14,8","15,0",63,43,55,54,,,
dek1,"997,1","996,5","997,8","997,1","15,1","6,4","8,7","4,3","8,1","13,2","9,6","10,1",75,56,73,68,,,
dek2,"1002,4","1002,0","1001,7","1002,0","13,6","5,3","8,3","2,7","5,9","12,5","9,8","9,5",78,53,65,65,,,
dek3,"1005,0","1004,4","1004,4","1004,6","20,5","8,8","11,7","3,4","10,1","19,2","14,5","14,6",66,38,47,51,,,
mes,"1001,6","1001,0","1001,4","1001,3","16,5","6,9","9,6","3,5","8,1","15,1","11,4","11,5",73,48,61,61,,,
1,"8,2","8,4","8,2","8,3",S,"4,4",NNW,"2,4",WNW,"4,4","3,7",-,10,10,8,"9,3",.,.,.
2,"6,2","4,3","7,4","6,0",S,"2,4",SSW,"0,8",SSE,"0,8","1,4",-,0,8,7,"5,0","2,4",.,.
3,"8,2","4,8","5,4","6,1",S,"2,4",NNW,"2,4",SE,"2,4","2,4",-,9,1,0,"3,3","0,4",.,.
4,"6,4","6,7","6,2","6,4",SSE,"4,4",S,"4,4",S,"4,4","4,4",-,1,1,3,"1,7","0,0",.,.
5,"7,2","7,9","10,2","8,4",S,"4,4",SSE,"4,4",W,"2,4","3,7",-,7,10,10,"9,0",.,.,.
6,"8,4","7,6","9,0","8,3",SSE,"2,4",W,"2,4",S,"2,4","2,4",-,9,7,0,"5,3","0,8",.,.
7,"8,7","9,3","9,7","9,2",ENE,"2,4",E,"2,4",ENE,"2,4","2,4",-,10,9,9,"9,3","1,8",.,.
8,"9,5","10,3","9,8","9,9",NNW,"2,4",NNE,"4,4",W,"2,4","3,0",-,10,10,9,"9,7","0,8",.,.
9,"8,5","10,0","10,4","9,6",C,"0,0",NNW,"2,4",ENE,"0,8","1,1",-,8,6,3,"5,7","7,6",.,.
10,"7,9","9,1","8,5","8,5",NW,"0,8",NNW,"2,4",NW,"2,4","1,9",-,5,10,6,"7,0",.,.,.
11,"5,7","6,3","6,9","6,3",NNW,"2,4",NNW,"4,4",WNW,"2,4","3,0",-,9,10,7,"8,7","0,1",.,.
12,"6,2","6,8","7,7","6,9",NW,"2,4",WNW,"2,4",NNW,"2,4","2,4",-,7,10,10,"9,0",.,.,.
13,"7,2","7,7","7,8","7,6",N,"0,8",WNW,"2,4",WNW,"2,4","1,9",-,10,9,10,"9,7","3,9",.,.
14,"7,2","6,9","6,6","6,9",WNW,"2,4",N,"2,4",ENE,"0,8","1,9",-,7,8,7,"7,3",.,.,.
15,"6,6","5,6","7,1","6,4",NW,"0,8",NNW,"4,4",WNW,"0,8","2,0",-,0,5,9,"4,7",.,.,.
16,"8,2","7,0","7,0","7,4",NW,"0,8",WNW,"4,4",WNW,"2,4","2,5",-,0,6,0,"2,0",.,.,.
17,"5,4","4,7","5,5","5,2",N,"0,8",NNW,"2,4",SSE,"2,4","1,9",-,4,1,0,"1,7",.,.,.
18,"6,6","7,1","9,2","7,6",WSW,"0,8",WNW,"2,4",ENE,"2,4","1,9",-,6,10,10,"8,7",.,.,.
